LassoGuillermo;14/3/2017 23:21;287;391;Continuamos con una caminata en el sector del Cisne 2 en Guayaquil. ¡Todos los ecuatorianos quieren un CAMBIO!… https://t.co/WXHnPrvHn7
LassoGuillermo;14/3/2017 19:13;261;373;Estuvimos recorriendo la Cooperativa Balerio Estacio. Llevamos el mensaje del CAMBIO. #VamosPorElCambio  https://t.co/LMQajasi76
LassoGuillermo;14/3/2017 17:29;333;455;En el Gobierno del CAMBIO la clase medica y todas las profesiones seran respetadas. #VamosPorElCambio https://t.co/NQakbt2Hix
LassoGuillermo;14/3/2017 17:26;292;422;Continuamos la jornada en Guayaquil con una visita a las instalaciones del Hospital Luis Vernaza. #VamosPorElCambio… https://t.co/wxnxnvMA36
LassoGuillermo;14/3/2017 14:02;1287;1384;. @MOFLETV Hola Mofle! Te doy encantado mi respuesta a tu inquietud en un corto video. https://t.co/2MJstg9CbX
LassoGuillermo;14/3/2017 12:46;587;666;Llamo a los ciudadanos a VOTAR por el CAMBIO. A dejar atras la dictadura de un partido politico. #VamosPorElCambio @ecuavisa
LassoGuillermo;14/3/2017 12:42;497;703;Llamaremos a consulta popular basados en articulo 104 de la Constitucion para que el pueblo decida sobre la reeleccion indefinida. @ecuavisa
LassoGuillermo;14/3/2017 12:22;728;771;La educacion sera gratuita pero de calidad. Vamos a impulsar una reforma educativa en la que participen maestros y Gobierno. @ecuavisa
LassoGuillermo;14/3/2017 12:15;381;510;El Gobierno del CAMBIO sera el Gobierno del CAMPO. Vamos a capitalizar BanEcuador para dar credito a largo plazo y a bajo interes. @ecuavisa
LassoGuillermo;14/3/2017 12:10;334;497;La zona franca de salud no significa privatizar. Se trata de cubrir el deficit de 8.000 camas que actualmente hay en Ecuador. @ecuavisa
LassoGuillermo;14/3/2017 12:08;276;339;Tenemos que impulsar el turismo a traves de zonas francas. Exonerar del pago de impuestos por 30 aNos a las nuevas inversiones. @ecuavisa
LassoGuillermo;14/3/2017 12:07;227;389;Promoveremos la Ley del Primer Emprendimiento para capitalizar los primeros emprendimientos. Tendremos estimulos tributarios. @ecuavisa
LassoGuillermo;14/3/2017 12:05;359;507;Hay que bajar las tasas de interes para incrementar los prestamos a largo plazo y se pueda dinamizar la economia ecuatoriana. @ecuavisa
LassoGuillermo;14/3/2017 12:04;397;526;Nuestro planteamiento es la reduccion de 14 impuestos. Esto significara $3.000 millones en manos de los ciudadanos ecuatorianos. @ecuavisa
LassoGuillermo;14/3/2017 12:02;177;270;¡Buenos dias amigos! Empezamos la entrevista en @ecuavisa. ¡No se la pierdan! #VamosPorElCambio 
LassoGuillermo;14/3/2017 0:24;552;458;Vamos por el CAMBIO el 2 de abril . Hoy he venido a Riobamba a agradecerles por todo el apoyo brindado.… https://t.co/jfSGu0Ernm
LassoGuillermo;13/3/2017 22:21;876;779;Continuamos en el Parque Cevallos de #Ambato donde una multitud escucho las propuestas de CAMBIO. #VamosPorElCambio https://t.co/J6eu0i5yam
LassoGuillermo;13/3/2017 20:33;412;382;Necesitamos estimular la inversion privada en Ecuador. Derogaremos 14 impuestos y las sobretasas arancelarias.… https://t.co/ICVQJSv3WK
LassoGuillermo;13/3/2017 20:30;320;298;Ahora estamos en conversatorio en la @UTecnicaAmbato. Gracias a los decanos profesores y personal administrativo p… https://t.co/phvfQI0Uq6
LassoGuillermo;13/3/2017 17:45;467;518;¡Vamos todos juntos por el CAMBIO!Para vivir en democracia y en libertad vamos por ese futuro de CAMBIO en el Ecua… https://t.co/tnStwjDjWl
LassoGuillermo;13/3/2017 17:43;381;459;Vamos a crear #1MillonDeEmpleos en 4 aNos de Gobierno . Vamos a impulsar la Ley del Primer Emprendimiento.… https://t.co/j3PkkOJCcb
LassoGuillermo;13/3/2017 17:39;362;330;Democracia es respetar el pensamiento diferente. Agradezco a @LourdesTiban por acompaNarnos aqui en Latacunga.… https://t.co/KHvVula8jf
LassoGuillermo;13/3/2017 17:19;719;630;Nuestro agradecimiento a @SevillaRoque y Rodrigo Paz por apoyar la propuesta del CAMBIO que quieren todos los ecuatorianos.
LassoGuillermo;13/3/2017 16:55;339;459;El respaldo a la candidatura del CAMBIO se vive en todo el Ecuador. Continuamos con una caminata en las calles de L… https://t.co/cFVNCr4DMK
LassoGuillermo;13/3/2017 16:07;338;422;¡Gracias por el recibimiento en Latacunga! Hoy cumplimos agenda en Cotopaxi Tungurahua y en Chimborazo.… https://t.co/bnKLxFouo0
LassoGuillermo;13/3/2017 2:28;504;524;Es ahora o nunca. JUNTOS este 2 de Abril #VamosPorElCambio  https://t.co/E4Wu4MwqBF
LassoGuillermo;13/3/2017 0:09;579;584;¡Muchas gracias a Bastion Popular! Masivo apoyo y acompaNamiento. Ecuador quiere CAMBIO. Ecuador quiere TRABAJO.… https://t.co/LNl2LGHaWm
LassoGuillermo;12/3/2017 23:42;367;403;La candidatura del CAMBIO no para. Ahora estamos en caminata en Bastion Popular. El 2 de abril el Ecuador se decide… https://t.co/Ksabfroipb
LassoGuillermo;12/3/2017 23:02;687;645;Vamos a cerrar la SENESCYT para aumentar las becas con el dinero que nos ahorraremos del sueldo de los burocratas.… https://t.co/TfCitnMOfZ
LassoGuillermo;12/3/2017 22:59;457;518;Estuvimos en Bastion Popular con los ecuatorianos que quieren un CAMBIO en el Ecuador. Ellos no quieren regalos qu… https://t.co/RninSSFrrg
LassoGuillermo;12/3/2017 22:13;1370;1076;En nuestro gobierno la educacion sera gratuita y de calidad. Leon Roldos contribuira con nuestras propuestas en educacion #VamosPorElCambio
LassoGuillermo;12/3/2017 19:43;1253;665;Portoviejo hermosa tierra de mi madre. De gente emprendedora y luchadora cumple hoy 482 aNos de fundacion. ¡Que viva Portoviejo!
LassoGuillermo;12/3/2017 3:20;695;437;¡Gracias a la provincia de Los Rios! Hoy fue una gran jornada por la libertad y la democracia. #VamosPorElCambio https://t.co/gViMLrGu9K
LassoGuillermo;12/3/2017 3:19;450;317;Terminamos la jornada con una caminata en el centro de Babahoyo y una concentracion masiva de apoyo a la candidatur… https://t.co/Fi0WLhozDL
LassoGuillermo;12/3/2017 0:27;592;539;Gracias a Vinces Paris Chiquito por este gran recibimiento. Seguimos recorriendo Los Rios llevando el mensaje d… https://t.co/XVHhFZer8f
LassoGuillermo;11/3/2017 22:56;1108;741;Mi reconocimiento a @LourdesTiban por su merecida nominacion como representante de pueblos indigenas por parte de la ONU.
LassoGuillermo;11/3/2017 22:40;411;443;Desde Puebloviejo les decimos: En nuestro Gobierno vamos a mantener la atencion de salud GRATUITA.… https://t.co/mIJayQ9QFr
LassoGuillermo;11/3/2017 22:36;326;338;Entrada la tarde estuvimos en Ventanas. Llevamos nuestra propuesta de CAMBIO. Vamos por #1MillonDeEmpleos… https://t.co/00PI3MrLIB
LassoGuillermo;11/3/2017 18:29;615;634;Gracias a todos los quevedeNos por el masivo recibimiento que hemos tenido en esta gran ciudad emprendedora.… https://t.co/F70rcXMqdg
LassoGuillermo;11/3/2017 17:26;715;750;En nuestro Gobierno mantendremos el subsidio al cilindro al gas y quitaremos el impuesto del 100% a las cocinas de gas. #VamosPorElCambio
LassoGuillermo;11/3/2017 17:25;527;599;Vamos a mantener el bono de desarrollo humano y reintegraremos a las personas que fueron removidas injustamente. #VamosPorElCambio
LassoGuillermo;11/3/2017 17:22;339;383;Vamos a reglamentar a las tricimotos para que puedan trabajar libre y tranquilamente. Vamos por #1MillonDeEmpleos https://t.co/oPAGHYf74J
LassoGuillermo;11/3/2017 17:19;474;533;Vamos a reformar la Ley de Transito porque detras de cada chofer esta una familia que mantener. No se les puede qui… https://t.co/s4USjapuwp
LassoGuillermo;11/3/2017 17:16;355;435;Empezamos la jornada con una caravana en la provincia de Los Rios. Estuvimos en las calles de Buena Fe llevando el… https://t.co/nX2Gh6p73e
LassoGuillermo;11/3/2017 1:42;1209;1084;¡Gracias Quito! ¡Gracias ECUADOR! ¡Junto a mi familia y ustedes vamos juntos por el CAMBIO! #LassoPresidente https://t.co/1rDxpRmEJI
LassoGuillermo;11/3/2017 1:22;549;768;Junto a @andrespaezec los asambleistas y USTEDES vamos a GANAR en las urnas el 2 de abril! ¡Que viva el Ecuador!… https://t.co/0Vno53WLtQ
LassoGuillermo;11/3/2017 1:16;355;567;Solisaridad para los afectados por desastres naturales. Vamos a cumplir con viviendas para los manabitas y esmerald… https://t.co/bw75XO2F9L
LassoGuillermo;11/3/2017 1:14;466;679;Vamos todos juntos por el CAMBIO. Es el momento de la historia para recuperar la democracia y la libertad en el Ecu… https://t.co/CtCoj22QjD
LassoGuillermo;11/3/2017 1:11;569;751;En nuestro gobierno no habra cargos para hermano ni primo ni privilegio para nadie. Tendremos un gobierno transpar… https://t.co/BR74tWNi28
LassoGuillermo;11/3/2017 1:08;294;545;Justicia social y crecimiento economico son dos caras de una misma moneda que se deforma por la corrupcion… https://t.co/zOdQi6CSxX
LassoGuillermo;11/3/2017 1:07;304;560;En el gobierno del CAMBIO derogaremos el impuesto al 100% a las cocinas a gas que el pueblo sea quien elige donde… https://t.co/b9Dqw5xRr1
LassoGuillermo;11/3/2017 1:03;494;684;Salud gratuita y de calidad para el pueblo ecuatoriano que mas necesita de un gobierno responsable #LassoPresidente
LassoGuillermo;11/3/2017 1:03;285;554;Vamos a respetar al maestro ecuatoriano y le devolveremos la personeria juridica a la UNE #LassoPresidente https://t.co/fQJffQJ3i5
LassoGuillermo;11/3/2017 0:58;356;590;Necesitamos paz social en el Ecuador. Recuperar la democracia y la libertad para impulsar el EMPLEO #LassoPresidente https://t.co/JtVYnVIzQY
